time_iso8601,stars_cumulative
2022-01-21 00:00:00+00:00,1
2022-03-09 00:00:00+00:00,2
2022-06-29 00:00:00+00:00,3
2022-11-24 00:00:00+00:00,4
2023-06-22 00:00:00+00:00,5
2023-10-12 00:00:00+00:00,6
2024-03-23 00:00:00+00:00,7
