time_iso8601,forks_cumulative
2022-01-21 00:00:00+00:00,1
2022-04-30 00:00:00+00:00,2
2022-08-22 00:00:00+00:00,3
2022-10-04 00:00:00+00:00,4
2024-01-29 00:00:00+00:00,5
