time_iso8601,stars_cumulative
2017-03-19 00:00:00+00:00,1
2020-08-19 00:00:00+00:00,2
2020-11-27 00:00:00+00:00,3
2021-12-28 00:00:00+00:00,4
2023-10-12 00:00:00+00:00,5
2024-05-11 00:00:00+00:00,6
