url_path,views_total,views_unique
/cicsdev/cics-genapp,82,54
/cicsdev/cics-genapp/tree/main/base,48,29
/cicsdev/cics-genapp/blob/main/base/src/lgtestp1.cbl,28,11
/cicsdev/cics-genapp/tree/main/base/src,18,16
/cicsdev/cics-genapp/blob/main/base/README.md,17,6
/cicsdev/cics-genapp/blob/main/base/Installation.md,15,7
/cicsdev/cics-genapp/blob/main/base/src/lgapdb01.cbl,14,9
/cicsdev/cics-genapp/blob/main/base/src/lgacdb01.cbl,13,8
/cicsdev/cics-genapp/blob/main/base/src/lgapol01.cbl,13,8
/cicsdev/cics-genapp/blob/main/base/src/lgipol01.cbl,12,6
