url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa,261,146
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,74,51
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,48,31
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,36,25
/cicsdev/cics-banking-sample-application-cbsa/tree/main,34,26
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/bank-application-frontend,18,13
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/doc/README.md,15,9
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/bms_src,14,11
/cicsdev/cics-banking-sample-application-cbsa/blob/main/src/base/bms_src/BNK1ACC.bms,13,5
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc/install/base,13,3
