url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa,198,118
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,69,36
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,39,26
/cicsdev/cics-banking-sample-application-cbsa/tree/main,36,23
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,23,13
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/doc/README.md,18,7
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/bank-application-frontend,16,10
/cicsdev/cics-banking-sample-application-cbsa/pulls,13,8
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc/install/base/buildjcl,12,1
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/bms_src,11,7
