referrer,views_total,views_unique
Google,192,39
github.com,170,33
github.ibm.com,42,5
statics.teams.cdn.office.net,30,7
chatgpt.com,10,4
aws.amazon.com,8,1
word-edit.officeapps.live.com,8,1
claude.ai,6,2
ibm.com,5,4
gitlabci-pages.exxeta.info,5,3
