url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa,37,23
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/aarfiles/creacc.aar,28,2
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,23,9
/cicsdev/cics-banking-sample-application-cbsa/tree/main/doc,16,5
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_copy,10,4
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,10,4
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/installjcl/BANK.csd,10,3
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,9,2
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/doc/CBSA_base_cobol_installation_instructions.md,8,1
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/Z-OS-Connect-Customer-Services-Interface,7,3
