url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa,199,124
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,76,41
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,38,26
/cicsdev/cics-banking-sample-application-cbsa/tree/main,34,21
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,20,13
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/bank-application-frontend,18,12
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/doc/README.md,16,6
/cicsdev/cics-banking-sample-application-cbsa/issues,14,8
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/Z-OS-Connect-Payment-Interface/src/main,12,4
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc/install/base/buildjcl,11,1
