time_iso8601,stars_cumulative
2017-04-16 00:00:00+00:00,1
2019-03-19 00:00:00+00:00,2
2019-07-24 00:00:00+00:00,3
2021-01-14 00:00:00+00:00,4
2023-04-06 00:00:00+00:00,5
2023-10-12 00:00:00+00:00,6
2024-05-11 00:00:00+00:00,7
