time_iso8601,stars_cumulative
2018-10-10 00:00:00+00:00,1
2023-02-07 00:00:00+00:00,2
2023-06-21 00:00:00+00:00,3
2023-10-12 00:00:00+00:00,4
2023-12-19 00:00:00+00:00,5
