time_iso8601,forks_cumulative
2020-11-10 00:00:00+00:00,1
2022-02-01 00:00:00+00:00,2
2023-08-02 00:00:00+00:00,3
2024-02-12 00:00:00+00:00,4
2024-06-27 00:00:00+00:00,5
